product_id,title,description,brand,offer_title,offer_offer_id,offer_price,offer_in_stock,stock,date
shampoing-douceur-de-miel,SHAMPOING DOUCEUR DE MIEL,Nettoie en douceur la chevelure. Apporte brillance et souplesse aux longueurs. Apaise les cuirs chevelus sensibles,BALLOT FLURIN,Default Title,39778969682009,15.4,True,63,2024-12-09 13:00:00
shampoing-traitant-propolis-noir,SHAMPOING TRAITANT PROPOLIS NOIR,Agit efficacement contre la dermite séborrhéique. Permet de purifier et réguler l’excès de sébum. Rôle antibactérien et anti-inflammatoire,BALLOT FLURIN,Default Title,39778978627673,18.5,True,12,2024-12-09 13:00:00
gel-aloe-vera-bio,GEL D’ALOE VERA BIO,Hydrate et fait briller chaque type de cheveux. Soulage les cuirs chevelus sensibilisés. Forme et fixe la boucle naturellement,CENTIFOLIA,Default Title,39784393506905,7.95,True,48,2024-12-09 13:00:00
shampoing-sec-framboise,SHAMPOING SEC FRAMBOISE,Permets d’espacer les lavages. . Absorbe intensément l’excès de sébum. Parfume et redonne du volume aux racines,CENTIFOLIA,Default Title,39786597417049,10.3,True,9,2024-12-09 13:00:00
masque-richesse-multi-usage,MASQUE RICHESSE MULTI-USAGE,Nourrit en profondeur la fibre capillaire. Protège les pointes asséchées. Odeur et texture parfaites,CENTIFOLIA,Default Title,39787229544537,17.85,True,23,2024-12-09 13:00:00
shampoing-creme-cheveux-gras,SHAMPOING PURIFIANT,Lave en douceur sans assécher. Régule la sécrétion de sébum. Permet d’espacer les lavages,CENTIFOLIA,Default Title,39787248156761,7.95,True,12,2024-12-09 13:00:00
masque-brillance-intense-framboise,MASQUE BRILLANCE INTENSE FRAMBOISE,Hydrate la fibre capillaire. Procure une brillance éclatante. Apporte douceur et protection,CENTIFOLIA,Default Title,39789047808089,16.75,True,15,2024-12-09 13:00:00
shampoing-volumateur,SHAMPOING VOLUMATEUR,Lave en douceur sans assécher. Procure gaine et volume aux cheveux fins. Rend les cheveux souples,CENTIFOLIA,Default Title,39791340388441,7.95,True,12,2024-12-09 13:00:00
shampoing-brillance,SHAMPOING BRILLANCE,Lave en douceur sans assécher. Illumine chaque type de cheveux. Protège la fibre capillaire,CENTIFOLIA,Default Title,39791371059289,7.95,False,0,2024-12-09 13:00:00
shampoing-creme-cheveux-sec,SHAMPOING NUTRITION,Lave en douceur sans assécher. Adoucit et fait briller la fibre capillaire. Protège et lutte contre la déshydratation,CENTIFOLIA,Default Title,39792031596633,7.95,True,9,2024-12-09 13:00:00
baulme-demelant-brillance,BAUME DÉMÊLANT BRILLANCE,Démêle sans alourdir. Révélateur de brillance. Apporte douceur et protection,CENTIFOLIA,Default Title,39792062333017,11.4,True,93,2024-12-09 13:00:00
lotion-demelante-brillance,LOTION DÉMÊLANTE BRILLANCE,Hydrate et fait briller la fibre capillaire. Permet un démêlage en douceur. Rend les cheveux souples et légers,CENTIFOLIA,Default Title,39794277122137,8.5,True,13,2024-12-09 13:00:00
brume-fixante-volume,BRUME FIXANTE & VOLUME,Fixe naturellement le mouvement des cheveux. Aide efficacement à la tenue des boucles. Plaque les baby hair . Apporte un soutien en racine,CENTIFOLIA,Default Title,39794280136793,12.9,True,30,2024-12-09 13:00:00
gelee-detox,GELÉE DÉTOX,Permet de retirer les pellicules . Stabilise la création du sébum . . Aère le cuir chevelu et donne du volume,CENTIFOLIA,Default Title,39795953467481,13.5,True,102,2024-12-09 13:00:00
shampoing-sec-pamplemousse,SHAMPOING SEC PAMPLEMOUSSE,Permet d’espacer les lavages. . Absorbe intensément l’excès de sébum. Parfume et redonne du volume aux racines,CENTIFOLIA,Default Title,39821546651737,10.3,False,0,2024-12-09 13:00:00
serum-concentre-apaisant,SÉRUM CONCENTRÉ APAISANT,"Apaise le cuir chevelu sensible, sec et irrité. Lutte contre les démangeaisons et les pellicules. Un ""effet glaçon"" qui soulage dès la première application",CENTIFOLIA,Default Title,49435059913031,12.95,True,66,2024-12-09 13:00:00
creme-gel-definisseur-de-boucles,CRÈME GEL DÉFINISSEUR DE BOUCLES,Un produit 2 en 1 pour protéger et définir les boucles. Permet de gainer le cheveu et d'éviter les frisottis. Idéal pour les cheveux texturés et fragilisés,CENTIFOLIA,Default Title,49493391933767,15.9,True,25,2024-12-09 13:00:00
spray-activateur-de-boucle,SPRAY ACTIVATEUR DE BOUCLES,Permet de rafraîchir les boucles instantanément. Apporte de l'éclat et lutte contre les frisottis. Idéal pour retrouver un maximum de définition sans alourdir,CENTIFOLIA,Default Title,49497377964359,13.9,True,87,2024-12-09 13:00:00
shampoing-anti-frisottis,SHAMPOING ANTI-FRISOTTIS,,CENTIFOLIA,Default Title,49571468869959,8.95,True,62,2024-12-09 13:00:00
masque-vegan-hydratation-mask,MASQUE VEGAN HYDRATATION MASK,Procure une hydratation intense et durable.. . Soigne et protège les cheveux abimés. Démêle sans aucunes difficultés,CUT BY FRED,Default Title,39963305607257,38.0,True,69,2024-12-09 13:00:00
vegan-curl-cream,CRÈME VEGAN CURL CREAM,Hydrate sans alourdir . Aide à dessiner les boucles . Apporte brillance et douceur,CUT BY FRED,Default Title,39963336245337,26.0,True,37,2024-12-09 13:00:00
vegan-serum,VEGAN SERUM,Lutte contre les pointes sèches. Agit immédiatement contre les frisottis . . Protège et illumine la fibre capillaire,CUT BY FRED,Default Title,39963367374937,29.0,True,209,2024-12-09 13:00:00
brosses-stimulante-scalp-brush,BROSSES STIMULANTE SCALP BRUSH,🍃 La brosse idéale pour stimuler la pousse et ralentir la chute en activant la circulation sanguine au niveau du cuir chevelu.,CUT BY FRED,Default Title,39964533784665,17.0,True,51,2024-12-09 13:00:00
spray-summer-protect,SPRAY SUMMER PROTECT,Protège du soleil du sel et du chlore.. . Évite le dessèchement des longueurs. Nourrit les cheveux et fait briller,CUT BY FRED,Default Title,46827487985991,29.0,True,35,2024-12-09 13:00:00
shampoing-vegan-hydratation,SHAMPOING VEGAN HYDRATATION,Lave en douceur sans agresser. Convient à tous types de cheveux. Mousse généreuse et odeur irrésistible,CUT BY FRED,Flacon (290 ml),49769112895815,29.0,True,24,2024-12-09 13:00:00
shampoing-vegan-hydratation,SHAMPOING VEGAN HYDRATATION,Lave en douceur sans agresser. Convient à tous types de cheveux. Mousse généreuse et odeur irrésistible,CUT BY FRED,Recharge (520 ml),49769112928583,32.0,True,24,2024-12-09 13:00:00
shampoing-vegan-detox,SHAMPOING VEGAN DETOX,Lave en douceur sans agresser. Détoxifie et protège la fibre capillaire. Aide à espacer les lavages,CUT BY FRED,Default Title,39966930665561,29.0,True,24,2024-12-09 13:00:00
shampoing-sec-vegan-volume-powder,SHAMPOING SEC VEGAN VOLUME POWDER,Apporte du volume aux racines. Permet d’espacer les lavages. . Texturise et coiffe les cheveux courts,CUT BY FRED,Flacon,49764896899399,26.0,True,20,2024-12-09 13:00:00
shampoing-sec-vegan-volume-powder,SHAMPOING SEC VEGAN VOLUME POWDER,Apporte du volume aux racines. Permet d’espacer les lavages. . Texturise et coiffe les cheveux courts,CUT BY FRED,Recharge,49764896932167,15.0,True,20,2024-12-09 13:00:00
spray-wake-up-curl-day-2,SPRAY WAKE UP CURL DAY 2,Permet de rafraichir ces boucles . Apporte du galbe et définition . . Hydrate et donne de la brillance,CUT BY FRED,Default Title,39969490927705,26.0,True,16,2024-12-09 13:00:00
gommage-lavant-depolluant-salt-scrub,GOMMAGE LAVANT DÉPOLLUANT SALT SCRUB,Apporte volume et légèreté dès la première utilisation .  Purifie et apaise les cheveux sensibles. Détoxifie les cuirs chevelus gras et élimine les pellicules,CUT BY FRED,Default Title,39981922549849,38.0,True,20,2024-12-09 13:00:00
spray-texturisant-vegan-surf-mist,SPRAY TEXTURISANT VEGAN SURF MIST,Effet wavy naturel. Apporte texture et définition aux longueurs. Redonne du volume des racines jusqu'aux pointes,CUT BY FRED,Default Title,39988485357657,26.0,True,20,2024-12-09 13:00:00
serum-vegan-scalp-potion,SERUM VEGAN SCALP POTION,,CUT BY FRED,Default Title,39993299140697,38.0,True,16,2024-12-09 13:00:00
